date,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2004-01-02,111.0,111.0,111.2,111.0,111.18,50.0,5553490.0
2004-01-05,111.18,111.3,111.9,111.15,111.88,124.0,13813900.0
2004-01-06,111.88,113.8,115.0,113.8,114.99,122.0,14005140.0
2004-01-07,114.99,113.8,114.36,113.8,114.24,64.0,7296920.0
2004-01-08,114.24,113.5,114.15,113.5,114.14,54.0,6158410.0
2004-01-09,114.14,114.0,114.0,112.8,113.19,97.0,10994480.0
2004-01-12,113.19,114.5,114.5,114.0,114.15,87.0,9953240.0
2004-01-13,114.15,114.0,114.3,113.62,113.63,151.0,17184530.0
2004-01-14,113.63,113.41,113.5,113.1,113.1,88.0,9976490.0
2004-01-15,113.1,112.25,112.25,111.51,111.83,104.0,11630520.0
2004-01-16,111.83,108.88,109.02,108.58,108.87,38.0,4140490.0
2004-01-29,109.73,109.65,109.7,109.45,109.65,75.0,8218520.0
2004-01-30,109.65,108.2,108.2,108.0,108.09,66.0,7133390.0
2004-02-02,108.09,108.48,108.48,107.9,107.91,48.0,5181950.0
2004-02-03,107.91,107.5,107.5,107.0,107.02,99.0,10597550.0
2004-02-04,107.02,107.0,107.2,107.0,107.1,134.0,14342900.0
2004-02-05,107.1,107.5,107.5,107.1,107.28,51.0,5466120.0
2004-02-06,107.28,106.2,107.5,106.2,107.06,54.0,5754010.0
2004-02-09,107.06,108.05,108.4,108.05,108.4,109.0,11809300.0
2004-02-10,108.4,108.55,109.26,108.55,109.21,115.0,12533850.0
2004-02-11,109.21,109.0,109.0,108.9,108.96,54.0,5885100.0
2004-02-12,108.96,110.0,110.0,109.5,109.61,78.0,8562270.0
2004-02-13,109.61,109.7,109.9,109.7,109.88,60.0,6589630.0
2004-02-16,109.88,109.22,109.5,109.22,109.48,75.0,8202889.99
2004-02-17,109.48,109.9,110.09,109.9,110.05,95.0,10450150.0
2004-02-18,110.05,110.8,110.8,110.55,110.7,215.0,23789990.0
2004-02-19,110.7,109.65,109.79,109.65,109.65,116.0,12724590.0
2004-02-20,109.65,109.6,109.6,109.3,109.39,102.0,11160280.0
2004-02-23,109.39,106.72,107.6,106.6,107.53,324.0,34652990.0
2004-02-24,107.53,107.5,108.0,107.45,107.8,336.0,36208960.0
2004-02-25,107.8,108.5,108.5,108.21,108.34,212.0,22968840.0
2004-02-26,108.34,106.81,107.4,106.81,107.33,268.0,28740240.0
2004-02-27,107.33,107.2,107.2,106.75,106.94,116.0,12410290.0
2004-03-01,106.94,107.4,107.8,106.85,106.89,201.0,21540030.0
2004-03-02,106.89,107.3,107.3,106.91,106.95,272.0,29120830.0
2004-03-03,106.95,105.1,105.3,104.65,105.0,577.0,60460240.0
2004-03-04,105.0,105.12,105.66,105.12,105.6,182.0,19204300.0
2004-03-05,105.6,105.55,106.04,105.55,106.0,219.0,23190850.0
2004-03-08,106.0,107.05,107.2,106.85,106.9,256.0,27396750.0
2004-03-09,106.9,107.5,107.58,107.46,107.47,214.0,23007620.0
2004-03-10,107.47,108.0,108.0,106.8,106.92,102.0,10952780.0
2004-03-11,106.92,106.5,106.9,106.5,106.81,126.0,13456320.0
2004-03-12,106.81,107.4,107.45,107.0,107.05,316.0,33843940.0
