date,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,PCT_CHG,VOLUME,AMT,PE_TTM,PB_LF,MKT_CAP_ARD,TOTAL_SHARES,FLOAT_A_SHARES,FREE_FLOAT_SHARES
2003-12-31,,1000.0,1000.0,1000.0,1000.0,0.0,,,,,,,,
2004-01-02,1000.0,1011.347,1011.347,1011.347,1011.347,1.134699999999998,,,26.24020004272461,2.901400089263916,1491745231086.0,213338895962.0,31694459693.0,30774766867.999996
2004-01-05,1011.347,,,,1060.801,4.889914144205694,,,27.94879913330078,3.090399980545044,1588883517023.0,213573349168.0,31928912899.000004,30774766867.999996
2004-01-06,1060.801,,,,1075.656,1.400356900116046,,,28.10759925842285,3.1078999042510986,1597906392664.0,213577909608.0,31933473339.0,30774766867.999996
2004-01-07,1075.656,,,,1086.303,0.9898145875633252,,,28.286800384521484,3.127700090408325,1608097172268.0,213577909608.0,31933473339.0,30774766867.999996
2004-01-08,1086.303,,,,1102.662,1.5059334274138911,,,28.53059959411621,3.1547000408172607,1621955039141.0,213577909608.0,31933473339.0,30774766867.999996
2004-01-09,1102.662,,,,1081.785,-1.8933272389907292,,,27.73080062866211,3.0662999153137207,1576489560769.0,213577909608.0,31933473339.0,30774766867.999996
2004-01-12,1081.785,,,,1116.799,3.236687511843841,,,28.651599884033203,3.168100118637085,1628834557040.0,213577909608.0,31933473339.0,30774766867.999996
2004-01-13,1116.799,,,,1102.44,-1.2857282286248397,,,28.086599349975586,3.105600118637085,1596712376794.0,213577909608.0,31933473339.0,30774766867.999996
2004-01-14,1102.44,,,,1079.818,-2.051993759297565,,,27.44860076904297,3.035099983215332,1560445258327.0002,213577909608.0,31933473339.0,30774766867.999996
2004-01-15,1079.818,,,,1074.074,-0.5319414938443251,,,27.357900619506836,3.0250000953674316,1555290053186.0,213659768298.0,32015332029.0,30774766867.999996
2004-01-16,1074.074,,,,1083.75,0.9008690276461333,,,27.582300186157227,3.049799919128418,1568046757966.0002,213659768298.0,32015332029.0,30774766867.999996
2004-01-29,1083.75,,,,1100.704,1.5643829296424407,,,27.75659942626953,3.0690999031066895,1577953258207.0,213659768298.0,32015332029.0,30774766867.999996
2004-01-30,1100.704,,,,1067.65,-3.002987179114445,,,26.79789924621582,2.963099956512451,1523453354269.9998,213659768298.0,32015332029.0,30774766867.999996
2004-02-02,1067.65,,,,1091.828,2.2645998220390466,,,27.28380012512207,3.016400098800659,1550886384665.0002,213659768298.0,32015332029.0,30774766867.999996
2004-02-03,1091.828,,,,1103.054,1.028183926406001,,,27.836000442504883,3.077500104904175,1582274196334.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-04,1103.054,,,,1128.545,2.3109476054662768,,,28.473100662231445,3.147900104522705,1618488490197.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-05,1128.545,,,,1128.0,-0.048292270135446326,,,28.467500686645508,3.1473000049591064,1618168935551.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-06,1128.0,,,,1122.186,-0.5154255319149006,,,28.24839973449707,3.1231000423431396,1605714553775.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-09,1122.186,,,,1134.714,1.1163924696975385,,,28.52680015563965,3.1538000106811523,1621537013720.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-10,1134.714,,,,1121.063,-1.2030344210082753,,,28.086200714111328,3.10509991645813,1596493774998.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-11,1121.063,,,,1110.161,-0.9724698790344559,,,27.601999282836914,3.0515999794006348,1568970686896.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-12,1110.161,,,,1094.212,-1.436638469555323,,,26.937599182128906,2.978100061416626,1531204756617.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-13,1094.212,,,,1096.461,0.20553603872010395,,,27.03969955444336,2.9893999099731445,1537007235237.9998,213659768298.0,32015332029.0,30774766867.999996
2004-02-16,1096.461,,,,1123.85,2.497945663366038,,,27.690099716186523,3.061300039291382,1573980213676.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-17,1123.85,,,,1123.72,-0.0115673799884221,,,27.592199325561523,3.05049991607666,1568414154890.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-18,1123.72,,,,1129.378,0.5035062115117558,,,27.703500747680664,3.06820011138916,1579825454000.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-19,1129.378,,,,1122.482,-0.6106015877766309,,,27.6210994720459,3.059000015258789,1575125669759.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-20,1122.482,,,,1124.764,0.20329947384456282,,,27.611000061035156,3.057300090789795,1574380137605.0002,213659768298.0,32015332029.0,30774766867.999996
2004-02-23,1124.764,,,,1093.236,-2.8030769121344385,,,26.776100158691406,2.964900016784668,1526777806243.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-24,1093.236,,,,1093.201,-0.0032015045241907372,,,26.985200881958008,2.9921000003814697,1541299754723.0,213659768298.0,32015332029.0,30774766867.999996
2004-02-25,1093.201,,,,1070.459,-2.0803127695638737,,,26.47369956970215,2.9354000091552734,1512088500431.9998,213659768298.0,32015332029.0,30774766867.999996
