date,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2004-01-02,,,,,,,
2004-01-05,,,,,,,
2004-01-06,,,,,,,
2004-01-07,,,,,,,
2004-01-08,,,,,,,
2004-01-09,,,,,,,
2004-01-12,,,,,,,
2004-01-13,,,,,,,
2004-01-14,,,,,,,
2004-01-15,,,,,,,
2004-01-16,,,,,,,
2004-01-29,,,,,,,
2004-01-30,,,,,,,
2004-02-02,,,,,,,
2004-02-03,,,,,,,
2004-02-04,,,,,,,
2004-02-05,,,,,,,
2004-02-06,,,,,,,
2004-02-09,,,,,,,
2004-02-10,,,,,,,
2004-02-11,,,,,,,
2004-02-12,,,,,,,
2004-02-13,,,,,,,
2004-02-16,,,,,,,
2004-02-17,,,,,,,
2004-02-18,,,,,,,
2004-02-19,,,,,,,
2004-02-20,,,,,,,
2004-02-23,,,,,,,
2004-02-24,,,,,,,
2004-02-25,,,,,,,
2004-02-26,,,,,,,
2004-02-27,,,,,,,
2004-03-01,,,,,,,
2004-03-02,,,,,,,
2004-03-03,,,,,,,
2004-03-04,,,,,,,
2004-03-05,,,,,,,
2004-03-08,,,,,,,
2004-03-09,,,,,,,
2004-03-10,,,,,,,
2004-03-11,,,,,,,
2004-03-12,,,,,,,
2004-03-15,,,,,,,
2004-03-16,,,,,,,
2004-03-17,,,,,,,
2004-03-18,,,,,,,
2004-03-19,,,,,,,
2004-03-22,,,,,,,
2004-03-23,,,,,,,
2004-03-24,,,,,,,
2004-03-25,,,,,,,
2004-03-26,,,,,,,
2004-03-29,,,,,,,
2004-03-30,,,,,,,
2004-03-31,,,,,,,
2004-04-01,,,,,,,
2004-04-02,,,,,,,
2004-04-05,,,,,,,
2004-04-06,,,,,,,
2004-04-07,,,,,,,
2004-04-08,,,,,,,
2004-04-09,,,,,,,
2004-04-12,,,,,,,
2004-04-13,,,,,,,
2004-04-14,,,,,,,
2004-04-15,,,,,,,
2004-04-16,,,,,,,
2004-04-19,,,,,,,
2004-04-20,,,,,,,
2004-04-21,,,,,,,
2004-04-22,,,,,,,
2004-04-23,,,,,,,
2004-04-26,,,,,,,
2004-04-27,,,,,,,
2004-04-28,,,,,,,
2004-04-29,,,,,,,
2004-04-30,,,,,,,
2004-05-10,,,,,,,
2004-05-11,,,,,,,
2004-05-12,,,,,,,
2004-05-13,,,,,,,
2004-05-14,,,,,,,
2004-05-17,,,,,,,
2004-05-18,,,,,,,
2004-05-19,,,,,,,
2004-05-20,,,,,,,
2004-05-21,,,,,,,
2004-05-24,,,,,,,
2004-05-25,,,,,,,
2004-05-26,,,,,,,
2004-05-27,,,,,,,
2004-05-28,,,,,,,
2004-05-31,,,,,,,
2004-06-01,,1000.0,1000.0,1000.0,1000.0,1303512.0,
2004-06-02,1000.0,1007.872,1017.7463,993.9223,1010.5673,1535066.0,
2004-06-03,1010.5673,986.4464,999.8273,982.1043,992.7846,1166624.0,
2004-06-04,992.7846,985.6525,996.8495,979.3336,990.274,1259052.0,
2004-06-07,990.274,989.8826,1002.3746,987.0042,996.3067,1176250.0,
2004-06-08,996.3067,1002.0185,1004.8123,989.1436,992.6668,1101652.0,
2004-06-09,992.6668,989.9916,992.1114,975.1926,984.8222,1002872.0,
2004-06-10,984.8222,970.6141,984.6836,966.2503,981.0526,1171420.0,
2004-06-11,981.0526,978.7357,987.1338,966.1113,971.2214,1400614.0,
2004-06-14,971.2214,970.51,975.003,964.2277,971.2139,973428.0,
2004-06-15,971.2139,973.8788,982.316,971.276,977.6644,827110.0,
2004-06-16,977.6644,984.8364,994.9134,979.223,990.6258,901792.0,
2004-06-17,990.6258,989.5507,1003.8001,987.7403,998.814,1233162.0,
2004-06-18,998.814,1000.3784,1003.7466,987.6172,992.8425,1193270.0,
2004-06-21,992.8425,992.7388,1002.7161,986.7527,990.3149,762644.0,
2004-06-22,990.3149,991.668,1001.7767,983.5942,997.8674,913616.0,
2004-06-23,997.8674,989.005,999.8306,986.5904,994.6558,907738.0,
2004-06-24,994.6558,1006.7225,1011.5283,1000.1257,1007.2209,802172.0,
2004-06-25,1007.2209,1010.6693,1013.8329,1003.5408,1007.0781,660974.0,
2004-06-28,1007.0781,1006.3062,1014.1024,1002.9551,1010.502,607944.0,
2004-06-29,1010.502,1005.4717,1015.0771,1002.4136,1012.3724,623544.0,
2004-06-30,1012.3724,1008.2182,1012.9963,1001.257,1007.1169,694886.0,
2004-07-01,1007.1169,1008.4742,1019.9319,1005.737,1018.0547,755856.0,
2004-07-02,1018.0547,1019.6223,1020.0465,1006.598,1009.7499,566152.0,
2004-07-05,1009.7499,1010.7488,1016.782,1005.5834,1009.1736,602938.0,
2004-07-06,1009.1736,1009.4082,1014.073,1003.8832,1009.9285,834184.0,
2004-07-07,1009.9285,1008.7758,1012.5178,988.4232,990.6887,1479834.0,
2004-07-08,990.6887,990.6996,994.2163,979.4942,988.396,1342622.0,
2004-07-09,988.396,982.9235,990.5492,978.0845,983.1494,1353796.0,
2004-07-12,983.1494,984.3316,989.3232,975.6823,981.6268,779608.0,
2004-07-13,981.6268,978.1718,983.5533,973.6663,978.6412,923638.0,
2004-07-14,978.6412,978.2764,983.7378,969.7909,974.6687,762890.0,
2004-07-15,974.6687,979.8152,983.5837,974.6836,980.7848,600612.0,
2004-07-16,980.7848,976.6592,980.4386,970.0172,976.6077,617596.0,
2004-07-19,976.6077,977.2509,980.3707,970.7362,974.5778,781000.0,
