,rp,benchmark: 0.7x国债+0.3x沪深300,中债-国债总财富(总值)指数,中债-信用债总财富(总值)指数,沪深300指数(全收益),上证50(全收益),SGE黄金9999
2010,3.1744315646167642,-2.0752933332520374,1.7504836767143317,4.1995455601660625,-10.978685910845442,-21.039484705046796,24.838516410783427
2011,3.824043421703305,-1.677082037188471,7.060658285552757,4.308650553486326,-24.73174128421951,-17.28043933094776,6.165672854632698
2012,5.774259146224958,4.4365703441533455,2.898996219404526,6.51286962018065,10.18098812360857,18.827375767898612,4.770867311158411
2013,-1.5629601172491459,-3.6047935711343904,-3.022916024628608,1.813317706009565,-5.635954094826845,-13.02571824688491,-30.737130723515982
2014,14.08925881088292,21.387538506421876,11.269862574291745,10.391942430804768,57.83734242193206,72.32217094002029,1.796944088002994
2015,8.332155540213982,8.174893339568069,8.45448085402567,9.380684867283406,7.461572928342486,-4.335041696818176,-7.601581170134287
2016,2.901837638954907,-1.0398751163134823,2.271025397411286,2.3279216145513537,-9.547439559628323,-2.806095941237019,19.07320945040947
2017,3.7022326278771445,5.014791028810817,-1.8982858950265302,2.372337850912243,25.138838078222413,29.3771698549804,3.563325268144779
2018,6.357310986475984,-1.069714420777157,9.178378355313544,7.712759295949101,-24.396208627599226,-18.065261139430678,4.409878709317416
2019,7.141105251875768,12.678637738097787,4.136788417338955,5.259521610297768,40.703629437239506,38.754636909166074,20.456640252732548
2020,4.917681520819683,10.985289416091447,2.7536532726764706,3.44730229837249,31.156180832851632,22.87728522040475,15.009600739542606
累计收益率,72.74552172467135,61.31030513289819,51.740610885231675,71.60830143790493,83.63959171078676,92.64079651607811,59.90815531592111
年化收益率,5.2866761588524325,4.609289272471484,4.008106023502811,5.2211599650267,5.895232199415368,6.373859077205557,4.523257786963297
年化波动率,1.8608649176768328,6.2846827332595545,2.175313092174757,1.0705814961474283,23.088142951810493,23.395463362734013,14.717265652007885
最大回撤,3.9253505067025873,14.960937495497301,5.851804491363115,2.939153560456691,46.05893911544982,43.7960007079443,44.8841110094541
最大回撤发生区间,20130528-20131220,20150608-20150826,20130528-20131120,20161024-20161220,20150608-20160128,20150608-20150825,20110906-20150731
最长回撤持续时间,371,1355,615,424,1857,1795,3174
最长回撤发生区间,20101019-20111025,20150608-20190222,20161021-20180628,20100906-20111104,20150608-20200708,20100105-20141205,20110906-20200515
sharp比率,2.034901148859235,0.49474084921051364,1.1529862218570779,3.4758306382256627,0.19036750632517668,0.2083249646155328,0.2054225192674179
calmar比率,0.9646721107800778,0.2078271681441933,0.4286038652187737,1.2660651743723454,0.09542625783017764,0.11128548265644428,0.06735697151997724
sortino比率,31.71246019013561,7.486757228557673,18.525900192091463,50.05645239636595,2.895930860292447,3.3081222523601723,3.1975849253753434
信息比率(rp),--,2.2586790690597702,12.921381490559341,0.898380068802345,-0.49990587905014,-0.9212947922112981,0.9733904717995507
